Album_id,Album,Track,Artist_Track,Number,Goated,Rating,Duration
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,Catch A Wave,The Beach Boys,3,0,3.0,130533
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,The Warmth Of The Sun - Mono,The Beach Boys,4,0,4.0,173600
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,Surfin U.S.A.,The Beach Boys,5,0,4.5,149400
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,Be True To Your School,The Beach Boys,6,0,5.0,127600
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,Little Deuce Coupe,The Beach Boys,7,0,4.0,101133
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,In My Room,The Beach Boys,8,0,3.0,134840
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,Shut Down,The Beach Boys,9,0,2.5,112066
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,"Fun, Fun, Fun",The Beach Boys,10,0,2.5,124598
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,I Get Around - Mono,The Beach Boys,11,0,5.0,134560
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,Girls On The Beach,The Beach Boys,12,0,3.0,147333
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,Wendy - Mono,The Beach Boys,13,0,3.0,137533
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,Let Him Run Wild - Mono,The Beach Boys,14,0,3.0,143706
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,Don't Worry Baby,The Beach Boys,15,0,4.0,168333
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,California Girls,The Beach Boys,16,0,5.0,161626
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,Girl Don't Tell Me,The Beach Boys,17,0,3.0,140906
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,"Help Me, Rhonda",The Beach Boys,18,0,5.0,190333
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,You're So Good To Me,The Beach Boys,19,0,4.0,136560
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,All Summer Long,The Beach Boys,20,0,3.0,128332
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,Good Vibrations - Mono Version,The Beach Boys,21,0,5.0,216506
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Nocturnal,Disclosure,1,0,,404511
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Omen,Disclosure,2,0,,230250
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Holding On,Disclosure,3,0,,315000
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Hourglass,Disclosure,4,0,,324240
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Willing & Able,Disclosure,5,0,,292759
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Magnets,Disclosure,6,0,,199245
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Jaded,Disclosure,7,0,,274749
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Good Intentions,Disclosure,8,0,,282124
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Superego,Disclosure,9,0,,273541
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Echoes,Disclosure,10,0,,309458
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Masterpiece,Disclosure,11,0,,241583
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Molecules,Disclosure,12,0,,236151
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Moving Mountains,Disclosure,13,0,,335965
08ipn1MH7xqgoqhUbtvCTy,Caracal (Deluxe),Afterthought,Disclosure,14,0,,320429
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Mellon Collie And The Infinite Sadness,The Smashing Pumpkins,1,0,5.0,172093
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,"Tonight, Tonight",The Smashing Pumpkins,2,1,5.0,254706
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Jellybelly,The Smashing Pumpkins,3,0,4.5,181360
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Zero,The Smashing Pumpkins,4,0,5.0,160466
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Here Is No Why,The Smashing Pumpkins,5,0,4.5,225000
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Bullet With Butterfly Wings,The Smashing Pumpkins,6,0,5.0,257706
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,To Forgive,The Smashing Pumpkins,7,0,3.5,256733
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,An Ode To No One,The Smashing Pumpkins,8,0,4.5,290960
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Love,The Smashing Pumpkins,9,0,3.0,261506
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Cupid De Locke,The Smashing Pumpkins,10,0,5.0,170226
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Galapogos,The Smashing Pumpkins,11,0,5.0,286506
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Muzzle,The Smashing Pumpkins,12,1,5.0,224093
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Porcelina Of The Vast Oceans,The Smashing Pumpkins,13,0,5.0,561173
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Take Me Down,The Smashing Pumpkins,14,0,3.0,172293
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Where Boys Fear To Tread,The Smashing Pumpkins,15,0,4.0,262733
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Bodies,The Smashing Pumpkins,16,0,4.0,252093
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Thirty-Three,The Smashing Pumpkins,17,0,5.0,250733
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,In The Arms Of Sleep,The Smashing Pumpkins,18,0,5.0,252373
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,1979,The Smashing Pumpkins,19,1,5.0,265893
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Tales Of A Scorched Earth,The Smashing Pumpkins,20,0,4.0,226000
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Thru The Eyes Of Ruby,The Smashing Pumpkins,21,0,5.0,458240
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Stumbleine,The Smashing Pumpkins,22,0,4.5,174466
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,X.Y.U.,The Smashing Pumpkins,23,1,5.0,427133
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,We Only Come Out At Night,The Smashing Pumpkins,24,0,4.5,245360
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Beautiful,The Smashing Pumpkins,25,0,4.5,258440
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Lily (My One And Only),The Smashing Pumpkins,26,0,4.5,211893
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,By Starlight,The Smashing Pumpkins,27,0,5.0,288200
09LdvC3k8ybEmyeiShUWw2,Mellon Collie And The Infinite Sadness,Farewell And Goodnight,The Smashing Pumpkins,28,0,3.5,263000
0agYsmUl1uS32ZFHKQ8L8W,Houdini,Hooch,Melvins,1,0,,169093
0agYsmUl1uS32ZFHKQ8L8W,Houdini,Night Goat,Melvins,2,0,,281066
0agYsmUl1uS32ZFHKQ8L8W,Houdini,Lizzy,Melvins,3,0,,283760
0agYsmUl1uS32ZFHKQ8L8W,Houdini,Goin' Blind,Melvins,4,0,,272706
0agYsmUl1uS32ZFHKQ8L8W,Houdini,Honey Bucket,Melvins,5,0,,181146
0agYsmUl1uS32ZFHKQ8L8W,Houdini,Hag Me,Melvins,6,0,,426400
0agYsmUl1uS32ZFHKQ8L8W,Houdini,Set Me Straight,Melvins,7,0,,145133
0agYsmUl1uS32ZFHKQ8L8W,Houdini,Sky Pup,Melvins,8,0,,230466
0agYsmUl1uS32ZFHKQ8L8W,Houdini,Joan of Arc,Melvins,9,0,,215973
0agYsmUl1uS32ZFHKQ8L8W,Houdini,Teet,Melvins,10,0,,171866
0agYsmUl1uS32ZFHKQ8L8W,Houdini,Copache,Melvins,11,0,,127333
0agYsmUl1uS32ZFHKQ8L8W,Houdini,Pearl Bomb,Melvins,12,0,,166306
0agYsmUl1uS32ZFHKQ8L8W,Houdini,Spread Eagle Beagle,Melvins,13,0,,613506
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Firestarter,The Prodigy,1,0,,279800
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Their Law - '05 Edit,The Prodigy,2,0,,336240
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Breathe,The Prodigy,3,0,,336280
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Out of Space,The Prodigy,4,0,,302106
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Smack My Bitch Up,The Prodigy,5,0,,343386
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Poison - 95EQ,The Prodigy,6,0,,241200
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Girls,The Prodigy,7,0,,252573
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Voodoo People - 05 Edit,The Prodigy,8,0,,220133
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Charly - Alley Cat Remix,The Prodigy,9,0,,322986
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,No Good (Start the Dance),The Prodigy,10,0,,379906
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Spitfire - 05 Version,The Prodigy,11,0,,206880
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Jericho,The Prodigy,12,0,,226933
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Everybody in the Place - Fairground Remix,The Prodigy,13,0,,309600
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,"One Love - 12"" Mix",The Prodigy,14,0,,325133
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Hotride,The Prodigy,15,0,,272920
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Razor,The Prodigy,16,0,,240173
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Back 2 Skool,The Prodigy,17,0,,302280
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Voodoo People - Pendulum Mix,The Prodigy,18,0,,307813
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Under My Wheels - Remix,The Prodigy,19,0,,194826
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,No Man Army - Edit,The Prodigy,20,0,,250480
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Molotov Bitch,The Prodigy,21,0,,294493
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Voodoo Beats,The Prodigy,22,0,,234360
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,Out of Space - Audio Bullys Remix,The Prodigy,23,0,,296680
0aZZ90ZakcGFzFiBMKHrCy,Their Law The Singles 1990 - 2005,The Way It Is - Live Remix,The Prodigy,24,0,,256866
